window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,909.8435267340392,24.768286567056194,16.731832520086606,,32.44654823098953
disjoint,greedy,50,1800.8014372659964,24.768286567056194,16.235781462726628,,34.44931518064105
disjoint,beam,100,3359.6403724899865,24.768286567056194,16.246045100423515,,34.407876554399785
disjoint,beam,50,3912.774386201985,24.768286567056194,15.823129648653207,,36.11536427514031
sliding,greedy,50,14387.433719817956,24.768286567056194,16.472787130385186,uniform,33.49242352397799
sliding,greedy,50,14299.473920926044,24.768286567056194,16.4128555851037,triangle,33.73439240268598
sliding,greedy,50,14335.207475456991,24.768286567056194,16.410505219214468,bell,33.74388181925448
sliding,beam,50,135549.62730648206,24.768286567056194,16.003005918887826,uniform,35.38912804661625
