window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,15.916114136110991,33.53690233271775,32.1311359341195,,4.191700189396508
disjoint,greedy,50,26.093382386956364,33.53690233271775,33.006652335412255,,1.5810941393600286
disjoint,beam,100,72.6387871238403,33.53690233271775,30.905958014630507,,7.844923457705755
disjoint,beam,50,97.4844144671224,33.53690233271775,36.85000184651581,,-9.878966998588545
sliding,greedy,50,416.28291662875563,33.53690233271775,30.892478010117593,uniform,7.885118000359636
sliding,greedy,50,416.9041265770793,33.53690233271775,30.870886853540313,triangle,7.949498295125911
sliding,greedy,50,417.6783946631476,33.53690233271775,30.87916526383497,bell,7.924813814095044
sliding,beam,50,3267.5052911406383,33.53690233271775,30.11495110996392,uniform,10.20353993581412
sliding,beam,50,3295.484245507978,33.53690233271775,30.08568549423972,triangle,10.290803856118558
sliding,beam,50,3301.8485729033127,33.53690233271775,30.0856049045891,bell,10.291044157532859
