window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,11.124126789160073,19.467189996544548,20.30229005114377,,-4.289782216886229
disjoint,greedy,50,21.991554444655776,19.467189996544548,22.1553268089591,,-13.80855076100711
disjoint,beam,100,38.1093663116917,19.467189996544548,20.20767651359398,,-3.8037668363069876
disjoint,beam,50,53.13454105518758,19.467189996544548,25.446338432355088,,-30.713977912949165
sliding,greedy,50,196.66276018321514,19.467189996544548,18.471947181458955,uniform,5.112411268715467
sliding,greedy,50,197.18611467350274,19.467189996544548,18.523697475615943,triangle,4.846577863040713
sliding,greedy,50,197.19583238381892,19.467189996544548,18.514591534981687,bell,4.893353697847235
sliding,beam,50,1537.459065552801,19.467189996544548,18.499802272686065,uniform,4.969323893331268
sliding,beam,50,1538.7388491276652,19.467189996544548,18.5620349352229,triangle,4.649644152455046
sliding,beam,50,1539.0444136876613,19.467189996544548,18.590204835985848,bell,4.504939648271611
