window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,21.603363289963454,26.561642824048494,27.652470569081682,,-4.106778154721558
disjoint,greedy,50,43.196581540163606,26.561642824048494,28.039336176156212,,-5.563260382260071
disjoint,beam,100,88.80412916792557,26.561642824048494,33.140531556421095,,-24.76838038954494
disjoint,beam,50,120.895590424072,26.561642824048494,47.62475147451828,,-79.29896802693084
sliding,greedy,50,502.9605794600211,26.561642824048494,24.359809997485442,uniform,8.289520498218383
sliding,greedy,50,507.978085945826,26.561642824048494,24.482874607129357,triangle,7.826203487071415
sliding,greedy,50,505.9150426192209,26.561642824048494,24.510746496159605,bell,7.721270636287747
sliding,beam,50,3781.4951090039685,26.561642824048494,28.888450638934913,uniform,-8.760029755312292
sliding,beam,50,3788.388554673642,26.561642824048494,29.173001682467394,triangle,-9.831315313278054
sliding,beam,50,3801.327791822143,26.561642824048494,29.26655942178077,bell,-10.183544051286187
